,DOI,abbrev,auths,titl,yr
5859,28_18680332,Simonsen (2005),Simonsen,"{'issue': '3', 'key': '28_18680332', 'doi-asserted-by': 'publisher', 'first-page': '265', 'DOI': '10.1001/archinte.165.3.265', 'volume': '165', 'author': 'Simonsen', 'year': '2005', 'journal-title': 'Archives of Internal Medicine', 'ISSN': 'http://id.crossref.org/issn/0003-9926', 'issn-type': 'print'}",2005
5860,29_38018077,unknown40327 (2010),unknown40327,"{'issue': '33', 'key': '29_38018077', 'first-page': '1057', 'volume': '59', 'year': '2010', 'journal-title': 'MMWR. Morbidity and mortality weekly report', 'ISSN': 'http://id.crossref.org/issn/0149-2195', 'issn-type': 'print'}",2010
5861,10.1001/dmp.2012.13,Kann L et al (2012),"Kann L., Kinchen S., Modzelski B., Sullivan M., Carr D., Zaza S., Graffunder C., Cetron M.",ILI-related school dismissal monitoring system: An overview and assessment,2012
5862,10.1093/cid/cis049,Hall et al (2012),"Hall R.L., Jones J.L., Hurd S., Smith G., Mahon B.E., Herwaldt B.L.","Population-based active surveillance for cyclospora infection-united states, foodborne diseases active surveillance network (FoodNet), 1997-2009",2012
5863,"key
				20171013234217_bib1",Herwaldt (2000),Herwaldt,"Cyclospora cayetanensis: a review, focusing on the outbreaks of cyclosporiasis in the 1990s",2000
5864,"key
				20171013234217_bib2",unknown4051 (1900),unknown4051,{'key': 'key\n\t\t\t\t20171013234217_bib2'},1900
5865,"key
				20171013234217_bib3",Ashford (1979),Ashford,Occurrence of an undescribed coccidian in man in Papua New Guinea,1979
5866,"key
				20171013234217_bib4",Soave (1986),Soave,A new intestinal pathogen? [Abstract],1986
5867,"key
				20171013234217_bib5",Herwaldt (1997),Herwaldt,An outbreak in 1996 of cyclosporiasis associated with imported raspberries. The Cyclospora Working Group,1997
5868,"key
				20171013234217_bib6",Herwaldt (1999),Herwaldt,The return of Cyclospora in 1997: another outbreak of cyclosporiasis in North America associated with imported raspberries. Cyclospora Working Group,1999
5869,"key
				20171013234217_bib7",Centers for Disease Control and Prevention (1997),Centers for Disease Control and Prevention,"Outbreak of cyclosporiasis—northern Virginia-Washington, D.C.-Baltimore, Maryland, metropolitan area, 1997",1997
5870,"key
				20171013234217_bib8",Levy (1998),Levy,Multicluster outbreak of foodborne cyclosporiasis associated with fresh basil [Abstract],1998
5871,"key
				20171013234217_bib9",Centers for Disease Control and Prevention (2004),Centers for Disease Control and Prevention,"Outbreak of cyclosporiasis associated with snow peas—Pennsylvania, 2004",2004
5872,"key
				20171013234217_bib10",Ho (2002),Ho,"Outbreak of cyclosporiasis associated with imported raspberries, Philadelphia, Pennsylvania, 2000",2002
5873,"key
				20171013234217_bib11",Koumans (1998),Koumans,An outbreak of cyclosporiasis in Florida in 1995: a harbinger of multistate outbreaks in 1996 and 1997,1998
5874,"key
				20171013234217_bib12",Lopez (2001),Lopez,Outbreak of cyclosporiasis associated with basil in Missouri in 1999,2001
5875,"key
				20171013234217_bib13",Hall (2011),Hall,"Surveillance for laboratory-confirmed sporadic cases of cyclosporiasis—United States, 1997–2008",2011
5876,"key
				20171013234217_bib14",Angulo (1998),Angulo,Determining the burden of human illness from foodborne diseases. CDC’s emerging infectious disease program Food Borne Diseases Active Surveillance Network (FoodNet),1998
5877,"key
				20171013234217_bib15",Henao (2010),Henao,Methods for monitoring trends in the incidence of foodborne diseases: Foodborne Diseases Active Surveillance Network 1996–2008,2010
5878,"key
				20171013234217_bib16",unknown40515 (1900),unknown40515,{'key': 'key\n\t\t\t\t20171013234217_bib16'},1900
5879,"key
				20171013234217_bib17",Bern (1999),Bern,Epidemiologic studies of Cyclospora cayetanensis in Guatemala,1999
5880,"key
				20171013234217_bib18",Bern (2002),Bern,Epidemiologic differences between cyclosporiasis and cryptosporidiosis in Peruvian children,2002
5881,"key
				20171013234217_bib19",Hammond (2006),Hammond,Surveillance and investigation of a large statewide Cyclospora foodborne disease outbreak involving an imported stealth ingredient,2006
5882,"key
				20171013234217_bib20",Marcus (2008),Marcus,New information about pediatric foodborne infections: the view from FoodNet,2008
5883,"key
				20171013234217_bib21",Ray (2004),Ray,"Population-based surveillance for Yersinia enterocolitica infections in FoodNet sites, 1996–1999: higher risk of disease in infants and minority populations",2004
5884,10.1093/cid/cis232,Murphree R et al (2012),"Murphree R., Garman K., Phan Q., Everstine K., Gould L.H., Jones T.F.","Characteristics of foodborne disease outbreak investigations conducted by foodborne diseases active surveillance network (foodnet) sites, 2003-2008",2012
5885,"key
				20171013233837_bib1",unknown4060 (1900),unknown4060,{'key': 'key\n\t\t\t\t20171013233837_bib1'},1900
5886,"key
				20171013233837_bib2",Jones (2004),Jones,"Limitations to successful investigation and reporting of foodborne outbreaks: an analysis of foodborne disease outbreaks in FoodNet catchment areas, 1998–1999",2004
5887,"key
				20171013233837_bib3",Centers for Disease Control and Prevention (2010),Centers for Disease Control and Prevention,"Surveillance for foodborne disease outbreaks—United States, 2007",2010
5888,"key
				20171013233837_bib4",Jones (2007),Jones,FoodNet: overview of a decade of achievement,2007
5889,"key
				20171013233837_bib5",Centers for Disease Control and Prevention (2010),Centers for Disease Control and Prevention,"Preliminary FoodNet data on the incidence of infection with pathogens transmitted commonly through food—10 states, 2009",2010
5890,"key
				20171013233837_bib6",Lynch (2006),Lynch,"Surveillance for foodborne-disease outbreaks—United States, 1998–2002",2006
5891,"key
				20171013233837_bib7",Olsen (2000),Olsen,"Surveillance for foodborne-disease outbreaks—United States, 1993–1997",2000
5892,"key
				20171013233837_bib8",Atmar (2008),Atmar,Norwalk virus shedding after experimental human infection,2008
5893,"key
				20171013233837_bib9",Jones (2004),Jones,Use of stool collection kits delivered to patients can improve confirmation of etiology in foodborne disease outbreaks,2004
5894,"key
				20171013233837_bib10",Batz (2005),Batz,Attributing illness to food,2005
5895,"key
				20171013233837_bib11",Carpenter (2008),Carpenter,Stool cultures and antimicrobial prescriptions related to infectious diarrhea,2008
5896,"key
				20171013233837_bib12",Oh (2010),Oh,"Comparison of survey methods in norovirus outbreak investigation, Oregon, USA, 2009",2010
5897,10.1016/S0213-005X(12)70093-9,López-Contreras J et al (2012),"López-Contreras J., Limón E., Matas L., Olona M., Sallés M., Pujol M.",Epidemiology of surgical site infections after total hip and knee joint replacement during 2007-2009: A report from the VINCat Program,2012
5898,10.1016/S0213-005X(12)70093-9_bib1,Coello (2005),Coello,Adverse impact of surgical site infections in English hospitals,2005
5899,10.1016/S0213-005X(12)70093-9_bib2,Broex (2009),Broex,Surgical site infections: how high are the costs?,2009
5900,10.1016/S0213-005X(12)70093-9_bib3,Kirkland (1999),Kirkland,"The impact of surgical-site infections in the 1990s: attributable mortality, excess length of hospitalization, and extra costs",1999
5901,10.1016/S0213-005X(12)70093-9_bib4,unparseable (1900),unparseable,unparseable,1900
5902,10.1016/S0213-005X(12)70093-9_bib5,unparseable (1900),unparseable,unparseable,1900
5903,10.1016/S0213-005X(12)70093-9_bib6,Edwards (2009),Edwards,"Healthcare Safety Network (NHSN) report: data summary for 2006 through 2008, issued December 2009",2009
5904,10.1016/S0213-005X(12)70093-9_bib7,Horan (2008),Horan,CDC/NHSN surveillance definitions of health-care associated infections and criteria for specific types of infections in the acute care setting,2008
5905,10.1016/S0213-005X(12)70093-9_bib8,McLaws (2003),McLaws,The Hospital Infection Standardized Surveillance (HISS) programme: analysis of a two-year pilot,2003
5906,10.1016/S0213-005X(12)70093-9_bib9,Thomas (2004),Thomas,Surgical-site infections after orthopaedic surgery: statewide surveillance using linked administrative databases,2004
5907,10.1016/S0213-005X(12)70093-9_bib10,Geubbels (2005),Geubbels,Hospital-related determinants for surgical-site infection following hip arthroplasty,2005
5908,10.1016/S0213-005X(12)70093-9_bib11,Cadwallader (2001),Cadwallader,A comparison of two methods for identifying surgical site infections following orthopaedic surgery,2001
5909,10.1016/S0213-005X(12)70093-9_bib12,Leekha (2010),Leekha,Should national standards for reporting surgical site infections distinguish between primary and revision orthopedic surgeries?,2010
5910,10.1016/S0213-005X(12)70093-9_bib13,Wójkowska-Mach (2008),Wójkowska-Mach,Comparison of SSI rates in endoarthroplasty of hip and knee in a Cracow patient population and the importance of postdischarge surveillance,2008
5911,10.1016/S0213-005X(12)70093-9_bib14,Wilson (2008),Wilson,Rates of surgical site infection after hip replacement as a hospital performance indicator: analysis of data from the English mandatory surveillance system,2008
5912,10.1016/S0213-005X(12)70093-9_bib15,Wilson (2007),Wilson,Hospital in Europe Link for Infection Control through Surveillance (HELICS). Inter-country comparison of rates of surgical site infection –opportunities and limitations,2007
5913,10.1016/S0213-005X(12)70093-9_bib16,Ehrenkranz (1995),Ehrenkranz,Recorded criteria as a “gold standard” for sensitivity and specificity estimates of surveillance of nosocomial infection: a novel method to measure job performance,1995
5914,10.1016/S0213-005X(12)70093-9_bib17,Muilwijk (2006),Muilwijk,Random effect modeling of patient-related risk factors in orthopaedic procedures: results from the Dutch nosocomial infection surveillance network ‘PREZIES’,2006
5915,10.1016/S0213-005X(12)70093-9_bib18,Astagneau (2009),Astagneau,Reducing surgical site infection incidence through a network: results from the French ISO-RAISIN surveillance system,2009
5916,10.1016/S0213-005X(12)70093-9_bib19,Huotari (2006),Huotari,Hospital Infection Surveillance Team. Impact of postdischarge surveillance on the rate of surgical site infection after orthopedic surgery,2006
5917,10.1016/S0213-005X(12)70093-9_bib20,Haustein (2011),Haustein,Use of benchmarking and public reporting for infection control in four high-income countries,2011
5918,10.1093/cid/cis245,Hurd S et al (2012),"Hurd S., Patrick M., Hatch J., Clogher P., Wymore K., Cronquist A.B., Segler S., Robinson T., Hanna S., Smith G., Fitzgerald C.",Clinical laboratory practices for the isolation and identification of campylobacter in foodborne diseases active surveillance network (foodnet) sites: Baseline information for understanding changes in surveillance data,2012
5919,"key
				20171013232443_bib1",Olson (2008),Olson,Epidemiology of Campylobacter jejuni infections in industrialized nations,2008
5920,"key
				20171013232443_bib2",Samuel (2004),Samuel,"Epidemiology of sporadic Campylobacter infection in the United States and declining trend in incidence, FoodNet 1996–1999",2004
5921,"key
				20171013232443_bib3",Scallan (2011),Scallan,Foodborne illness acquired in the United States—major pathogens,2011
5922,"key
				20171013232443_bib4",unknown4083 (1900),unknown4083,{'key': 'key\n\t\t\t\t20171013232443_bib4'},1900
5923,"key
				20171013232443_bib5",Centers for Disease Control and Prevention (2010),Centers for Disease Control and Prevention,"Preliminary FoodNet data on the incidence of infection with pathogens transmitted commonly through food—10 states, 2009",2010
5924,"key
				20171013232443_bib6",Nachamkin (2003),Nachamkin,Campylobacter and Arcobacter,2003
5925,"key
				20171013232443_bib7",Voetsch (2004),Voetsch,"Laboratory practices for stool-specimen culture for bacterial pathogens, including Escherichia coli O157:H7 in the FoodNet sites, 1995–2000",2004
5926,"key
				20171013232443_bib8",Granato (2010),Granato,"Comparison of premier CAMPY enzyme immunoassay (EIA), ProSpecT Campylobacter EIA, and ImmunoCard STAT! CAMPY tests with culture for laboratory diagnosis of Campylobacter enteric infections",2010
5927,"key
				20171013232443_bib9",Bessède (2011),Bessède,New methods for detection of campylobacters in stool samples in comparison to culture,2011
5928,"key
				20171013232443_bib10",Scallan (2007),Scallan,"Activities, achievements, and lessons learned during the first 10 years of the Foodborne Diseases Active Surveillance Network: 1996–2005",2007
5929,"key
				20171013232443_bib11",Allos (2004),Allos,Surveillance for sporadic foodborne disease in the 21st century: the FoodNet perspective,2004
5930,"key
				20171013232443_bib12",Fitzgerald (2011),Fitzgerald,Campylobacter and Arcobacter,2011
5931,"key
				20171013232443_bib13",Altekruse (1999),Altekruse,Campylobacter jejuni—an emerging foodborne pathogen,1999
5932,"key
				20171013232443_bib14",Hines (1996),Hines,Effective use of the clinical microbiology laboratory for diagnosing diarrheal diseases,1996
5933,"key
				20171013232443_bib15",M’ikanatha (2011),M’ikanatha,"Laboratory practices for stool-specimen culture for Campylobacter, Pennsylvania, 2009",2011
5934,"key
				20171013232443_bib16",Fitzgerald (2011),Fitzgerald,Multi-center study to evaluate diagnostic methods for detection and isolation of Campylobacter from stool,2011
5935,"key
				20171013232443_bib17",Centers for Disease Control and Prevention (2009),Centers for Disease Control and Prevention,Recommendations for diagnosis of Shiga toxin-producing Escherichia coli infections by clinical laboratories,2009
5936,10.1016/S0213-005X(12)70092-7,Pujol M et al (2012),"Pujol M., Limón E., López-Contreras J., Sallés M., Bella F., Gudiol F.",Surveillance of surgical site infections in elective colorectal surgery. Results of the VINCat Program (2007-2010),2012
5937,10.1016/S0213-005X(12)70092-7_bib1,De Lissovoy (2009),De Lissovoy,Surgical site infection: Incidence and impact on hospital utilization and treatment costs,2009
5938,10.1016/S0213-005X(12)70092-7_bib2,Coello (2005),Coello,Adverse impact of surgical site infections in English hospitals,2005
5939,10.1016/S0213-005X(12)70092-7_bib3,Broex (2009),Broex,Surgical site infections: how high are the costs?,2009
5940,10.1016/S0213-005X(12)70092-7_bib4,unparseable (1900),unparseable,unparseable,1900
5941,10.1016/S0213-005X(12)70092-7_bib5,unparseable (1900),unparseable,unparseable,1900
5942,10.1016/S0213-005X(12)70092-7_bib6,unparseable (1900),unparseable,unparseable,1900
5943,10.1016/S0213-005X(12)70092-7_bib7,Edwards (2009),Edwards,"National Healthcare Safety Network (NHSN) report: data summary for 2006 through 2008, issued December 2009",2009
5944,10.1016/S0213-005X(12)70092-7_bib8,Horan (2008),Horan,CDC/NHSN surveillance definitions of health-care associated infections and criteria for specific types of infections in the acute care setting,2008
5945,10.1016/S0213-005X(12)70092-7_bib9,Gastmeier (2008),Gastmeier,Ten years of KISS: the most important requirements for success,2008
5946,10.1016/S0213-005X(12)70092-7_bib10,Reilly (2006),Reilly,Procedure-specific surgical site infections rates and postdischarge surveillance in Scotland,2006
5947,10.1016/S0213-005X(12)70092-7_bib11,Wilson (2007),Wilson,Hospital in Europe Link for Infection Control through Surveillance (HELICS). Inter-country comparison of rates of surgical site infecvtion: opportunities and limitations,2007
5948,10.1016/S0213-005X(12)70092-7_bib12,Serra-Aracil (2011),Serra-Aracil,Surgical site infection in elective operations for colorectal cancer after the application of preventive measures,2011
5949,10.1016/S0213-005X(12)70092-7_bib13,Tanner (2009),Tanner,Post-discharge surveillance to identify colorectal surgical site infection rates and related costs,2009
5950,10.1016/S0213-005X(12)70092-7_bib14,Astagneau (2009),Astagneau,Reducing surgical site infection incidence through a network: results from the French ISO-RAISIN surveillance system,2009
5951,10.1016/S0213-005X(12)70092-7_bib15,Haustein (2011),Haustein,Use of benchmarking and public reporting for infection control in four high-income countries,2011
5952,10.1016/S0213-005X(12)70092-7_bib16,Pastor (2010),Pastor,An increase in compliance with the Surgical Care Improvement Project measures does not prevent surgical site infection in colorectal surgery,2010
5953,10.1016/S0213-005X(12)70092-7_bib17,Anthony (2011),Anthony,Evaluating an evidence-based bundle for preventing surgical site infection: a randomized trial,2011
5954,10.1016/S0213-005X(12)70092-7_bib18,Konishi (2006),Konishi,Elective colon and rectal surgery differ in risk factors for wound infection: results of prospective surveillance,2006
5955,10.1016/S0213-005X(12)70092-7_bib19,Pastor (2010),Pastor,Validation of the risk index category as a predictor of surgical site infection in elective colorectal surgery,2010
